code,pcode,name,symbol
14929,P033600,Crankshaft Position Sensor A Circuit Range/Performance,SV_ERR_SYM_CRK_TOOTH_NR.14929
14930,P033600,Crankshaft Position Sensor A Circuit Range/Performance,SV_ERR_SYM_CRK_TOOTH_PER.14930
14931,P033600,Crankshaft Position Sensor A Circuit Range/Performance,SV_ERR_SYM_CRK_TOOTH_NR_STST.14931
14939,P308200,Clutch position sensor Implausible signal,SV_ERR_SYM_CS_PV.14939
14955,P209700,Post Catalyst Fuel Trim System Bank 1 Too Rich,SV_ERR_SYM_LAM_ADJ_DIAG_MAX_1.14955
14956,P209600,Post Catalyst Fuel Trim System Bank1 Too Lean,SV_ERR_SYM_LAM_ADJ_DIAG_MIN_1.14956
14961,P013300,"O2 Sensor Circ.,Bank1-Sensor1 Slow Response",SV_ERR_SYM_DYN_LS_UP_1.14961
14982,P060600,ECM/PCM Processor,SV_ERR_SYM_ECU_1.14982
14983,P060100,Internal Contr.Module Memory Check Sum Error,SV_ERR_SYM_ECU_2_CKS_SW.14983
14984,P060100,Internal Contr.Module Memory Check Sum Error,SV_ERR_SYM_ECU_2_CKS_CAL.14984
14985,P060100,Internal Contr.Module Memory Check Sum Error,SV_ERR_SYM_ECU_2_EEPROM.14985
14989,P164000,Ctrl. module faulty,SV_ERR_SYM_ECU_5.14989
14990,P157000,Engine Control Module (ECM) disabled,SV_ERR_SYM_ECU_6.14990
14993,P025D00,Fuel Pump Module Control Circuit High,SV_ERR_SYM_EFPPWM_SCP.14993
14994,P025C00,Fuel Pump Module Control Circuit Low,SV_ERR_SYM_EFPPWM_SCG.14994
14995,P025A00,Fuel Pump Module Control Circuit/Open,SV_ERR_SYM_EFPPWM_OC.14995
14996,P304500,Fuel pump electronics Faulty,SV_ERR_SYM_EFPPWM_FB_A_INT.14996
14997,P308E00,Fuel pump electronics Excess temp.,SV_ERR_SYM_EFPPWM_FB_A_PUMP_1.14997
14998,P308D00,Fuel pump Engine speed too low,SV_ERR_SYM_EFPPWM_FB_A_PUMP_2.14998
14999,P304300,Fuel pump mechanical malfunction,SV_ERR_SYM_EFPPWM_FB_A_VB.14999
15000,P304400,Fuel pump Short circuit,SV_ERR_SYM_EFPPWM_FB_B_1.15000
15001,P307300,Fuel pump Electrical error in circuit,SV_ERR_SYM_EFPPWM_FB_B_2.15001
15002,P307700,"Fuel Pump Electronics, voltage supply Electrical error",SV_ERR_SYM_EFPPWM_FB_B_3.15002
15005,P008900,Fuel Pressure Regulator 1 Performance,SV_ERR_SYM_FUP_EFP_CTL_I.15005
15007,P008900,Fuel Pressure Regulator 1 Performance,SV_ERR_SYM_FUP_EFP_CTL_DIF.15007
15008,P044500,Evaporativ Emiss.System Purge Control Valve Circ. Shorted,SV_ERR_SYM_EL_CPS_SCP.15008
15009,P044500,Evaporativ Emiss.System Purge Control Valve Circ. Shorted,SV_ERR_SYM_EL_CPS_SCG.15009
15010,P044400,Evaporativ Emiss.System Purge Control Valve Circ. Open,SV_ERR_SYM_EL_CPS_OC.15010
15013,P003300,Turbo Charger Bypass Valve Control Circuit,SV_ERR_SYM_EL_RCL_ACR_SCP.15013
15014,P003400,Turbo Charger Bypass Valve Control Circuit Low,SV_ERR_SYM_EL_RCL_ACR_SCG.15014
15015,P003300,Turbo Charger Bypass Valve Control Circuit,SV_ERR_SYM_EL_RCL_ACR_OC.15015
15025,P181C00,Gear recognition sensor Implausible signal,SV_ERR_SYM_FRQ_NEUT_GEAR_H.15025
15026,P181C00,Gear recognition sensor Implausible signal,SV_ERR_SYM_FRQ_NEUT_GEAR_L.15026
15027,P125000,Fuel level too low,SV_ERR_SYM_FRS_ACT.15027
15028,P017100,"Fuel Trim,Bank1 System too Lean",SV_ERR_SYM_FSD_LAM_LIM_MAX_1.15028
15029,P017200,"Fuel Trim,Bank1 System too Rich",SV_ERR_SYM_FSD_LAM_LIM_MIN_1.15029
15030,P218700,"System too lean at idle, Bank 1",SV_ERR_SYM_FSD_MAX_1.15030
15031,P218800,"System too rich at idle, Bank 1",SV_ERR_SYM_FSD_MIN_1.15031
15032,P21F800,"Fuel Control System ""B"" Too Lean at Idle Bank 1",SV_ERR_SYM_FSD_OPT_MAX_1.15032
15033,P21F900,"Fuel Control System ""B"" Too Rich at Idle Bank 1",SV_ERR_SYM_FSD_OPT_MIN_1.15033
15034,P019000,"Fuel Rail Pressure Sensor ""A"" Circuit",SV_ERR_SYM_FUP_H.15034
15035,P019200,"Fuel Rail Pressure Sensor ""A"" Circuit Low Input",SV_ERR_SYM_FUP_L.15035
15038,P253900,Low Pressure Fuel System Sensor Circuit,SV_ERR_SYM_FUP_EFP_H.15038
15039,P254100,Low Pressure Fuel System Sensor Circuit Low Input,SV_ERR_SYM_FUP_EFP_L.15039
15041,P119A00,Fuel pressure sensor Malfunction,SV_ERR_SYM_FUP_MFP_PLAUS_H.15041
15042,P119A00,Fuel pressure sensor Malfunction,SV_ERR_SYM_FUP_MFP_PLAUS_L.15042
15044,P019100,"Fuel Rail Pressure Sensor ""A"" Circuit Range/Performance",SV_ERR_SYM_FUP_ORNG_TOL_2.15044
15048,P048000,Cooling Fan 1 Control Circuit,SV_ERR_SYM_ECF_EL_OC_1.15048
15053,U100800,Diagnostic interface for data bus Read out DTC,SV_ERR_SYM_GEN_LOAD_CAN.15053
15057,P008800,Fuel Rail/System Pressure - Too High,SV_ERR_SYM_H_PRS_SYS_TOL_1.15057
15058,P008700,Fuel Rail/System Pressure - Too Low,SV_ERR_SYM_H_PRS_SYS_BOL_1.15058
15059,P008700,Fuel Rail/System Pressure - Too Low,SV_ERR_SYM_H_PRS_SYS_BOL_2.15059
15060,P230200,"Ignition Coil ""A"" Secondary Circuit",SV_ERR_SYM_IGC_OC_0.15060
15061,P230500,"Ignition Coil ""B"" Secondary Circuit",SV_ERR_SYM_IGC_OC_3.15061
15062,P230800,"Ignition Coil ""C"" Secondary Circuit",SV_ERR_SYM_IGC_OC_1.15062
15063,P231100,"Ignition Coil ""D"" Secondary Circuit",SV_ERR_SYM_IGC_OC_2.15063
15064,P230000,"Ignition Coil ""A"" Primary Control Circuit Low",SV_ERR_SYM_IGC_SCG_0.15064
15065,P230300,"Ignition Coil ""B"" Primary Control Circuit Low",SV_ERR_SYM_IGC_SCG_3.15065
15066,P230600,"Ignition Coil ""C"" Primary Control Circuit Low",SV_ERR_SYM_IGC_SCG_1.15066
15067,P230900,"Ignition Coil ""D"" Primary Control Circuit Low",SV_ERR_SYM_IGC_SCG_2.15067
15068,P230100,"Ignition Coil ""A"" Primary Control Circuit High",SV_ERR_SYM_IGC_SCP_0.15068
15069,P230400,"Ignition Coil ""B"" Primary Control Circuit High",SV_ERR_SYM_IGC_SCP_3.15069
15070,P230700,"Ignition Coil ""C"" Primary Control Circuit High",SV_ERR_SYM_IGC_SCP_1.15070
15071,P231000,"Ignition Coil ""D"" Primary Control Circuit High",SV_ERR_SYM_IGC_SCP_2.15071
15072,P157000,Engine Control Module (ECM) disabled,SV_ERR_SYM_IMMO_LOCK.15072
15073,P157000,Engine Control Module (ECM) disabled,SV_ERR_SYM_IMMO_DEAC.15073
15074,P130A00,Hide cylinder,SV_ERR_SYM_INH_INJ_MIS.15074
15077,P050700,Idle Control System RPM Higher than Expected,SV_ERR_SYM_ISC_H.15077
15078,P050600,Idle Control System RPM Lower than Expected,SV_ERR_SYM_ISC_L.15078
15082,P233600,Cylinder #1 Above Knock Threshold,SV_ERR_SYM_KNK_RTD_LIM_0.15082
15083,P233700,Cylinder #2 Above Knock Threshold,SV_ERR_SYM_KNK_RTD_LIM_3.15083
15084,P233800,Cylinder #3 Above Knock Threshold,SV_ERR_SYM_KNK_RTD_LIM_1.15084
15085,P233900,Cylinder #4 Above Knock Threshold,SV_ERR_SYM_KNK_RTD_LIM_2.15085
15087,P008B00,Low Pressure Fuel System Pressure - Too High,SV_ERR_SYM_FUP_EFP_ORNG_TOL_1.15087
15088,P008A00,Low Pressure Fuel System Pressure - Too Low,SV_ERR_SYM_FUP_EFP_ORNG_BOL.15088
15090,P069100,Cooling Fan 1 Control Circuit Low,SV_ERR_SYM_ECF_EL_SCG_1.15090
15099,P006800,MAP/MAF - Throttle Position Correlation,SV_ERR_SYM_LOAD_PLAUS.15099
15100,P006800,MAP/MAF - Throttle Position Correlation,SV_ERR_SYM_TPS_PLAUS.15100
15101,P006800,MAP/MAF - Throttle Position Correlation,SV_ERR_SYM_AMP_TPS_PLAUS.15101
15120,P010800,Manifold Abs.Pressure or Bar.Pressure High Input,SV_ERR_SYM_MAP_SCP.15120
15121,P010700,Manifold Abs.Pressure or Bar.Pressure Low Input,SV_ERR_SYM_MAP_SCG.15121
15125,P030100,Cyl.1 Misfire Detected,SV_ERR_SYM_MIS_0.15125
15126,P069200,Cooling Fan 1 Control Circuit High,SV_ERR_SYM_ECF_EL_SCP_1.15126
15128,P030200,Cyl.2 Misfire Detected,SV_ERR_SYM_MIS_3.15128
15129,P194400,Coolant fan control module 1 Excess temp.,SV_ERR_SYM_ECF_FB_1_1.15129
15130,P195000,Coolant fan for coolant difficulty of movement/blocked,SV_ERR_SYM_ECF_FB_1_2.15130
15131,P030300,Cyl.3 Misfire Detected,SV_ERR_SYM_MIS_1.15131
15132,P194500,"Coolant Fan Control (FC) Control Module 1, fan activation Short circuit",SV_ERR_SYM_ECF_FB_1_3.15132
15133,P194600,Coolant fan control module 1 Faulty/open circuit in voltage supply,SV_ERR_SYM_ECF_FB_1_4.15133
15134,P030400,Cyl.4 Misfire Detected,SV_ERR_SYM_MIS_2.15134
15137,P030000,Random/Multiple Cylinder Misfire Detected,SV_ERR_SYM_MIS_MPL.15137
15139,P060600,ECM/PCM Processor,SV_ERR_SYM_MON_3.15139
15145,P154500,Throttle valve control system Malfunction,SV_ERR_SYM_ETC_PWM_2.15145
15146,P154500,Throttle valve control system Malfunction,SV_ERR_SYM_TPS_DIF.15146
15148,P021900,Engine Overspeed Condition,SV_ERR_SYM_N_MAX_VVL_H.15148
15149,P021900,Engine Overspeed Condition,SV_ERR_SYM_N_MAX_VVL_L.15149
15152,P150C00,RPM request from transmission cannot be performed,SV_ERR_SYM_N_SP_IS_TCU.15152
15154,P15A100,Neutral position sensor Implausible signal,SV_ERR_SYM_NEUT_GEAR_COAST.15154
15155,P15A100,Neutral position sensor Implausible signal,SV_ERR_SYM_NEUT_GEAR_PU.15155
15157,P160A00,Ctrl. module faulty,SV_ERR_SYM_NVMCRYPT_KEY.15157
15158,P160A00,Ctrl. module faulty,SV_ERR_SYM_NVMCRYPT_PLAUS.15158
15159,P160A00,Ctrl. module faulty,SV_ERR_SYM_NVMCRYPT_SW.15159
15170,P019800,Engine Oil Temperature Sensor Circuit high,SV_ERR_SYM_OIL_SENS_EL.15170
15171,P019600,Engine Oil Temperature Sensor Circuit range/performance,SV_ERR_SYM_OIL_SENS_PLAUS.15171
15177,P039B00,Cylinder 1 Pressure Too High,SV_ERR_SYM_PI_0.15177
15178,P03A500,Cylinder 2 Pressure Too High,SV_ERR_SYM_PI_3.15178
15179,P03AF00,Cylinder 3 Pressure Too High,SV_ERR_SYM_PI_1.15179
15180,P03B900,Cylinder 4 Pressure Too High,SV_ERR_SYM_PI_2.15180
15181,P226100,Turbo Boost Pressure Not Detected Mechanical,SV_ERR_SYM_PLAUS_CLOSE_RCL.15181
15182,P15A100,Neutral position sensor Implausible signal,SV_ERR_SYM_PLAUS_NEUT_GEAR_H.15182
15183,P15A100,Neutral position sensor Implausible signal,SV_ERR_SYM_PLAUS_NEUT_GEAR_L.15183
15184,P15A100,Neutral position sensor Implausible signal,SV_ERR_SYM_PLAUS_NEUT_GEAR_MID.15184
15186,P085100,Park/Neutral Switch Input Circuit Low,SV_ERR_SYM_PN_SCG.15186
15187,P085000,Park/Neutral Switch Input Circuit,SV_ERR_SYM_PN_SCP_OC.15187
15188,P164B00,Oil pressure switch Malfunction,SV_ERR_SYM_POIL_H_WARN.15188
15189,P164D00,Reduced oil pressure switch Malfunction,SV_ERR_SYM_POIL_L_WARN.15189
15190,P164A00,Oil pressure switch Implausible signal,SV_ERR_SYM_POIL_SWI_H_PLAUS.15190
15191,P164C00,Reduced oil pressure switch Implausible signal,SV_ERR_SYM_POIL_SWI_L_PLAUS.15191
15192,P201000,Intake Manifold Runner Bank 1 Control Circuit High,SV_ERR_SYM_PORT_SCP.15192
15193,P200900,Intake Manifold Runner Bank 1 Control Circuit Low,SV_ERR_SYM_PORT_SCG.15193
15194,P200800,Intake Manifold Runner Bank 1 Control Circuit/Open,SV_ERR_SYM_PORT_OC.15194
15195,P201500,Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance,SV_ERR_SYM_PORT_AD_1.15195
15196,P201700,Intake Manifold Runner Position Sensor/Switch Circuit High,SV_ERR_SYM_PORT_FB_EL_H_1.15196
15197,P201400,Intake Manifold Runner Position Sensor/Switch Circuit,SV_ERR_SYM_PORT_FB_EL_L_1.15197
15198,P200400,Intake Manifold Runner Control Bank 1 Stuck Open,SV_ERR_SYM_PORT_MEC_DOWN_1.15198
15200,P200600,Intake Manifold Runner Control Bank 1 Stuck Closed,SV_ERR_SYM_PORT_MEC_UP_1.15200
15209,P164E00,Oil pressure regulation valve Electrical error,SV_ERR_SYM_PUMP_OIL_EL_SCP.15209
15210,P164E00,Oil pressure regulation valve Electrical error,SV_ERR_SYM_PUMP_OIL_EL_SCG.15210
15211,P164E00,Oil pressure regulation valve Electrical error,SV_ERR_SYM_PUMP_OIL_EL_OC.15211
15212,P023800,Turbocharger Boost Sensor (A) Circ. High Input,SV_ERR_SYM_PUT_SCP.15212
15213,P023700,Turbocharger Boost Sensor (A) Circ. Low Input,SV_ERR_SYM_PUT_SCG.15213
15217,U101000,Electrical Parking Brake Control Module Read out DTC,SV_ERR_SYM_PV_CLU_CAN_PBR.15217
15218,P212300,Throttle/Pedal Pos. Sens./Switch D Circuit High Input,SV_ERR_SYM_PVS_H_1.15218
15219,P212200,Throttle/Pedal Pos. Sens./Switch D Circuit Low Input,SV_ERR_SYM_PVS_L_1.15219
15220,P212800,Throttle/Pedal Pos. Sens./Switch E Circuit High Input,SV_ERR_SYM_PVS_H_2.15220
15221,P212700,Throttle/Pedal Pos. Sens./Switch E Circuit Low Input,SV_ERR_SYM_PVS_L_2.15221
15222,P213800,Throttle/Pedal Position Sensor/Switch D/E Voltage Correlation,SV_ERR_SYM_PVS_DRIFT.15222
15224,P213800,Throttle/Pedal Position Sensor/Switch D/E Voltage Correlation,SV_ERR_SYM_PVS_RATIO.15224
15226,P00AF00,"Turbocharger/Supercharger Boost Control ""A"" Module Performance",SV_ERR_SYM_PWM_BPA_H_1.15226
15227,P00AF00,"Turbocharger/Supercharger Boost Control ""A"" Module Performance",SV_ERR_SYM_PWM_BPA_L_1.15227
15230,P032600,Knock Sensor 1 Circuit Range/Performance,SV_ERR_SYM_REL_KNK_0.15230
15236,U102100,Body computer 1/ veh. elec sys CM / cent elec. Read out DTC,SV_ERR_SYM_WIP_LIN.15236
15237,P056200,System Voltage Low Voltage,SV_ERR_SYM_RLY_MAIN_DLY.15237
15239,P068600,EMC/PCM Power Relay Control Circuit Low,SV_ERR_SYM_RLY_MAIN_PLAUS_OFF.15239
15240,P068700,EMC/PCM Power Relay Control Circuit High,SV_ERR_SYM_RLY_MAIN_PLAUS_ON.15240
15242,P068700,EMC/PCM Power Relay Control Circuit High,SV_ERR_SYM_RLY_MAIN_EL_SCP.15242
15243,P065900,"Actuator Supply Voltage ""A"" Circuit High",SV_ERR_SYM_PWR_RLY_EL_SCP_0.15243
15244,P065800,"Actuator Supply Voltage ""A"" Circuit Low",SV_ERR_SYM_PWR_RLY_EL_SCG_0.15244
15245,P065700,"Actuator Supply Voltage ""A"" Circuit/Open",SV_ERR_SYM_PWR_RLY_EL_OL_0.15245
15259,P139700,Sensor Wheel for Engine Speed adaptation limit reached,SV_ERR_SYM_SEG_AD_ER.15259
15261,P219500,O2 Sensor Signal Stuck Lean Bank 1 Sensor 1,SV_ERR_SYM_SHIFT_AFL_LSL_UP_1.15261
15262,P219600,O2 Sensor Signal Stuck Rich Bank 1 Sensor 1,SV_ERR_SYM_SHIFT_AFR_LSL_UP_1.15262
15263,P15A000,Neutral position sensor Electrical error,SV_ERR_SYM_SIG_NEUT_GEAR_H.15263
15264,P15A000,Neutral position sensor Electrical error,SV_ERR_SYM_SIG_NEUT_GEAR_L.15264
15265,P209100,B Camshaft Position Actuator Control Circuit(Bank1) High,SV_ERR_SYM_SLV_SCP_VCP_EX_1.15265
15266,P104900,"Bank1, camshaft adjustment valve (exhaust) Short circuit to ground",SV_ERR_SYM_SLV_SCG_VCP_EX_1.15266
15267,P105000,"Bank1, camshaft adjustment valve (exhaust) Open circuit",SV_ERR_SYM_SLV_OC_VCP_EX_1.15267
15268,P152600,"Bank1, camshaft adjustment Short circuit to B+",SV_ERR_SYM_SLV_SCP_VCP_IN_1.15268
15269,P152700,"Bank1, camshaft adjustment Short circuit to ground",SV_ERR_SYM_SLV_SCG_VCP_IN_1.15269
15270,P152800,"Bank1, camshaft adjustment Open circuit",SV_ERR_SYM_SLV_OC_VCP_IN_1.15270
15277,P060300,Internal Contr.Module (KAM) Error,SV_ERR_SYM_SPI_PBK_IV_CYC_0.15277
15281,P308800,Starter relay Electrical error in circuit,SV_ERR_SYM_ST_CTL.15281
15282,P305400,Starter does not turn Mechanically blocked or electrical malfunction,SV_ERR_SYM_ST_DFCT.15282
15283,P167E00,Start/stop restart Maximum start time exceeded,SV_ERR_SYM_ST_NOT_OK.15283
15284,P253500,Ignition Switch Run/ Start Position Curciut High,SV_ERR_SYM_ST_REQ_PLAUS_H.15284
15288,P304600,Starter relay 1 Electrical malfunction in circuit (relay stuck/does not switch),SV_ERR_SYM_STR_1_DFCT.15288
15289,P061500,Starter Relay Circuit,SV_ERR_SYM_STR_1_OC.15289
15290,P061600,Starter Relay Circuit Low,SV_ERR_SYM_STR_1_SCG.15290
15291,P061700,Starter Relay Circuit High,SV_ERR_SYM_STR_1_SCP.15291
15292,P305000,Starter relay 2 Electrical malfunction in circuit (relay stuck/does not switch),SV_ERR_SYM_STR_2_DFCT.15292
15293,P304900,Activation starter relay 2 Open circuit,SV_ERR_SYM_STR_2_OC.15293
15294,P304800,Activation starter relay 2 Short circuit to ground,SV_ERR_SYM_STR_2_SCG.15294
15295,P304700,Activation starter relay 2 Short circuit to B+,SV_ERR_SYM_STR_2_SCP.15295
15296,P305200,"Starter activation, return message terminal 50 Short circuit to B+",SV_ERR_SYM_STR_FB_H.15296
15297,P305300,"Starter activation, return message terminal 50 Short circuit to ground/open circuit",SV_ERR_SYM_STR_FB_L.15297
15306,P139700,Sensor Wheel for Engine Speed adaptation limit reached,SV_ERR_SYM_T_SEG_ER.15306
15313,P011800,Engine Coolant Temperature Sensor 1 Circuit High,SV_ERR_SYM_LTS_EL_H_TCE.15313
15314,P011700,Engine Coolant Temperature Sensor 1 Circuit Low,SV_ERR_SYM_LTS_EL_L_TCE.15314
15315,U042500,Invalid Data Received From Auxiliary Heater Control Module,SV_ERR_SYM_THEAT_CAN_ICH.15315
15318,P011600,Engine Coolant Temperature Sensor 1 Circuit Range/Performance,SV_ERR_SYM_TLTS_STUCK_L_TCE.15318
15319,P011600,Engine Coolant Temperature Sensor 1 Circuit Range/Performance,SV_ERR_SYM_TLTS_STUCK_H_TCE.15319
15320,P181E00,Gear recognition sensor Gear position implausible,SV_ERR_SYM_GEAR_SIG_PLAUS_CUS.15320
15321,P181D00,Gear recognition sensor Error,SV_ERR_SYM_GEAR_SENS_PLAUS_CUS.15321
15323,U041500,Invalid Data Received From Anti-Lock Brake System Control Module,SV_ERR_SYM_TCS_NPLAU.15323
15324,U041500,Invalid Data Received From Anti-Lock Brake System Control Module,SV_ERR_SYM_TCS_WRG_REQ.15324
15326,P168200,Databus drivetrain Implausible message from ABS control module,SV_ERR_SYM_TCS_MSR_VS_MIN.15326
15327,P254500,"Torque Management Request Input Signal ""A"" Range/Performance",SV_ERR_SYM_GB_INTV_TQ_INT.15327
15328,P254500,"Torque Management Request Input Signal ""A"" Range/Performance",SV_ERR_SYM_GB_INTV_AC_VEH.15328
15329,P162400,Requirement - malfunction lamp on active,SV_ERR_SYM_TCU1.15329
15332,P218100,Cooling System Performance,SV_ERR_SYM_TH.15332
15336,P181B00,Gear recognition sensor Electrical error,SV_ERR_SYM_TOUT_NEUT_GEAR.15336
15337,P012300,Throttle/Pedal Pos.Sensor A Circ. High Input,SV_ERR_SYM_VP_TPS_1_H.15337
15338,P012200,Throttle/Pedal Pos.Sensor A Circ. Low Input,SV_ERR_SYM_VP_TPS_1_L.15338
15339,P022300,Throttle/Pedal Position Sensor/Switch B High Input,SV_ERR_SYM_VP_TPS_2_H.15339
15340,P022200,Throttle/Pedal Position Sensor/Switch B Low Input,SV_ERR_SYM_VP_TPS_2_L.15340
15341,P063800,Throttle Actuator Control (Bank1) Range/Performance,SV_ERR_SYM_TPS_AD_LIH.15341
15342,P063800,Throttle Actuator Control (Bank1) Range/Performance,SV_ERR_SYM_TPS_AD_BOL_ORNG.15342
15343,P029900,Turbo/Super Charger Underboost,SV_ERR_SYM_LEAK_UP_THR.15343
15344,P063800,Throttle Actuator Control (Bank1) Range/Performance,SV_ERR_SYM_TPS_AD_BOL.15344
15345,P063800,Throttle Actuator Control (Bank1) Range/Performance,SV_ERR_SYM_TPS_AD_BOL_SPR.15345
15346,P063800,Throttle Actuator Control (Bank1) Range/Performance,SV_ERR_SYM_TPS_AD_TOL.15346
15347,P063800,Throttle Actuator Control (Bank1) Range/Performance,SV_ERR_SYM_TPS_AD_TOL_SPR.15347
15348,P063800,Throttle Actuator Control (Bank1) Range/Performance,SV_ERR_SYM_TPS_AD_CDN_BAT.15348
15349,P063800,Throttle Actuator Control (Bank1) Range/Performance,SV_ERR_SYM_TPS_AD_CDN.15349
15350,P012100,Throttle/Pedal Pos.Sensor A Circ. Range/Performance,SV_ERR_SYM_TPS_MAF_1.15350
15351,P022100,Throttle/Pedal Position Sensor/Switch B Range/Performance,SV_ERR_SYM_TPS_MAF_2.15351
15353,P063800,Throttle Actuator Control (Bank1) Range/Performance,SV_ERR_SYM_TPS_ST_CHK_LIH.15353
15355,P063800,Throttle Actuator Control (Bank1) Range/Performance,SV_ERR_SYM_TPS_ST_CHK_SPR.15355
15364,P161200,Engine control module (ECM) Incorrect coding,SV_ERR_SYM_VAR_COD_DFT.15364
15365,U030000,Internal Control Module Software Incompatibility,SV_ERR_SYM_VAR_COD.15365
15366,U030200,Software Incompatibility with Transmission Control Module,SV_ERR_SYM_VAR_COD_TCU.15366
15367,P056300,System Voltage High Voltage,SV_ERR_SYM_VP_PWR_H_0.15367
15368,P056200,System Voltage Low Voltage,SV_ERR_SYM_VP_PWR_L_0.15368
15369,P217700,"System too lean off idle, Bank 1",SV_ERR_SYM_FSD_FAC_MAX_1.15369
15370,P217800,"System too rich off idle, Bank 1",SV_ERR_SYM_FSD_FAC_MIN_1.15370
15371,P21F400,"Fuel Control System ""B"" Too Lean Off Idle Bank 1",SV_ERR_SYM_FSD_OPT_FAC_MAX_1.15371
15372,P064300,"Sensor Reference Voltage ""A"" Circuit High",SV_ERR_SYM_VCC_H_0.15372
15373,P064200,"Sensor Reference Voltage ""A"" Circuit Low",SV_ERR_SYM_VCC_L_0.15373
