Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled,Tabs,Assign To
FP DI SP,bar,x / 10,%01.0f,0x293b,2,FALSE,0,250,-1,300,0,TRUE,,
FP MPI,bar,x / 1000,%01.2f,0x2025,2,FALSE,0,15,-1,15,0.5,TRUE,Fuel,
FP MPI SP,bar,x / 1000,%01.2f,0x2932,2,FALSE,0,15,-1,15,0.5,TRUE,Fuel,
HPFP Eff Vol,%,x / 100,%01.1f,0x209a,2,FALSE,0,100,-1000,100,0,TRUE,,
Fuel Trim,%,s + l,%01.0f,0xffff,1,FALSE,-35,35,-1000,1000,0,TRUE,Fuel,
Gear,,x,%01.0f,0x210f,2,FALSE,0,6,-1000,10,0,TRUE,,
IAT,°C,x * 0.75 - 48,%01.1f,0x1001,1,FALSE,-40,55,-35,50,0.7,TRUE,Misc.Default,
Ign Avg,°,x / 100,%01.2f,0x2004,2,TRUE,-10,10,-15,100,0,TRUE,Ignition,
Inj PW DI,ms,x / 250,%01.2f,0x13a0,2,FALSE,0,190000,-1000,10000,0,TRUE,Ignition,
Inj PW MPI,ms,x / 250,%01.2f,0x13ac,2,FALSE,0,190000,-1000,10000,0,TRUE,Ignition,
Int Cam Pos,°,30 - (x / 10),%01.1f,0x201e,2,TRUE,-10,10,-50,50,0,TRUE,,
Knock Cyl 1,°,x / 100,%01.2f,0x200a,2,TRUE,0,-5,-4,1000,0,TRUE,Ignition.Default,w
Knock Cyl 2,°,x / 100,%01.2f,0x200b,2,TRUE,0,-5,-4,1000,0,TRUE,Ignition,x
Knock Cyl 3,°,x / 100,%01.2f,0x200c,2,TRUE,0,-5,-4,1000,0,TRUE,Ignition,y
Knock Cyl 4,°,x / 100,%01.2f,0x200d,2,TRUE,0,-5,-4,1000,0,TRUE,Ignition,z
Lambda,l,x / 1024,%01.2f,0x10c0,2,FALSE,0,2,0.7,1000,0,TRUE,Fuel,
Lambda SP,l,x / 32768,%01.2f,0xf444,2,FALSE,0,2,-1000,1000,0,TRUE,Fuel,
LPFP Duty,%,x / 100,%01.1f,0x2028,2,FALSE,0,100,-1,100,0.7,TRUE,Fuel,
LTFT,%,x / 1.28 - 100,%01.1f,0xf407,1,FALSE,-25,25,-20,20,0.7,TRUE,Fuel,l
MAP,kpa,x / 10,%01.0f,0x39c0,2,FALSE,0,300,-1000,300,0,TRUE,Airflow,m
MAP SP,kpa,x / 10,%01.0f,0x39c1,2,FALSE,0,300,-1000,300,0,TRUE,Airflow,
Misfires,,x,%01.0f,0x2904,2,FALSE,0,20,-1000,10,0,TRUE,Misc,
Oil Temp,°C,(x - 2731.4) / 10,%01.1f,0x202f,2,FALSE,-50,130,0,120,0.9,TRUE,Misc,
Pedal Pos,%,x / 10.24,%01.0f,0x1070,2,FALSE,0,100,-1000,1000,0,TRUE,Airflow,d
Port Flap Pos,,x,%01.1f,0x295c,1,FALSE,0,1,-1000,1000,0,TRUE,,
PUT,kpa,x / 10,%01.1f,0x202a,2,FALSE,0,300,-1000,300,0,TRUE,Airflow,p
PUT SP,kpa,x / 10,%01.0f,0x2029,2,FALSE,0,300,-1000,300,0,TRUE,Airflow,
STFT,%,x / 1.28 - 100,%01.1f,0xf406,1,FALSE,-25,25,-20,20,0,TRUE,Fuel,s
Torque,Nm,x / 10,%01.2f,0x437c,2,TRUE,-50,450,-1000,500,0,TRUE,Power,
Torque Req,Nm,x / 10,%01.1f,0x4380,2,TRUE,0,500,-1000,500,0.7,TRUE,Power,
TPS,%,x / 10,%01.1f,0x20ba,2,TRUE,0,100,-1000,101,0,TRUE,,
Turbo Speed,rpm,x / 163.84,%01.0f,0x1040,2,FALSE,0,190,-1000,195,0,TRUE,Airflow,
Turbo Air Temp,°C,x * 0.005859375 + 144,%01.1f,0x1041,2,TRUE,-40,55,-500,500,0.7,TRUE,Airflow,
Valve Lift Pos,,x,%01.0f,0x167c,1,FALSE,0,1,-100,100,0,TRUE,,
Vehicle Speed,km/hr,x / 100,%01.1f,0x2033,2,FALSE,0,220,-20,220,0,TRUE,Airflow,
Wastegate,%,100 - x / 100,%01.1f,0x39a2,2,FALSE,0,100,-1000,1000,0,TRUE,,
Wastegate SP,%,100 - x / 100,%01.1f,0x39a3,2,FALSE,0,100,-1000,1000,0,TRUE,,
